Date,Product,Quantity,Unit_Price,Customer_ID,Region,Total_Sales
2023-03-07,Printer,3,651.73,CUST_029,North,1955.19
2023-06-19,Printer,4,278.14,CUST_008,West,1112.56
2023-02-14,Printer,2,122.07,CUST_011,East,244.14
2023-03-03,Phone,1,172.44,CUST_041,East,172.44
2023-07-04,Keyboard,7,171.64,CUST_037,West,1201.48
2023-05-14,Laptop,8,194.31,CUST_014,East,1554.48
2023-01-28,Printer,7,181.89,CUST_030,East,1273.23
2023-01-28,Laptop,5,658.83,CUST_035,South,3294.15
2023-04-18,Printer,1,222.79,CUST_021,West,222.79
2023-02-13,Monitor,7,378.38,CUST_037,North,2648.66
2023-03-25,Keyboard,7,901.95,CUST_005,East,6313.650000000001
2023-01-30,Keyboard,9,500.26,CUST_019,West,4502.34
2023-07-09,Tablet,3,684.18,CUST_014,South,2052.54
2023-03-16,Phone,9,213.7,CUST_026,North,1923.3
2023-05-08,Tablet,1,232.67,CUST_004,West,232.67
2023-04-02,Tablet,1,88.83,CUST_025,North,88.83
2023-07-09,Tablet,4,210.49,CUST_045,North,841.96
2023-05-09,Tablet,9,314.66,CUST_042,North,2831.94
2023-05-01,Tablet,6,218.16,CUST_025,East,1308.96
2023-01-27,Headphones,3,134.27,CUST_018,East,402.81000000000006
2023-07-09,Keyboard,1,164.6,CUST_040,South,164.6
2023-05-01,Tablet,4,487.74,CUST_008,South,1950.96
2023-04-26,Printer,9,246.02,CUST_039,West,2214.1800000000003
2023-01-03,Keyboard,3,396.06,CUST_040,South,1188.18
2023-04-13,Keyboard,9,528.25,CUST_014,North,4754.25
2023-07-17,Mouse,7,705.88,CUST_032,North,4941.16
2023-07-19,Headphones,4,87.35,CUST_038,East,349.4
2023-06-04,Tablet,3,809.44,CUST_033,North,2428.32
2023-05-17,Laptop,5,646.51,CUST_023,West,3232.55
2023-03-03,Monitor,5,127.67,CUST_015,North,638.35
2023-06-14,Phone,3,879.9,CUST_033,North,2639.7
2023-02-20,Printer,9,924.83,CUST_025,West,8323.470000000001
2023-06-21,Laptop,4,108.02,CUST_017,South,432.08
2023-06-01,Headphones,5,313.03,CUST_033,South,1565.1499999999999
2023-02-28,Monitor,4,815.89,CUST_047,West,3263.56
2023-04-28,Headphones,5,760.85,CUST_002,East,3804.25
